StateName,RegionName,pop20,JulyValue20,pop21,JulyValue21
GA,"Wilcox County",8731,30947,8739,34118
GA,"Dawson County",27047,235602,28497,270709
GA,"Long County",16287,103829,17152,114302
GA,"Franklin County",23429,76419,23785,87693
GA,"Screven County",14060,45405,14105,50622
GA,"Meriwether County",20619,44070,20793,49700
GA,"Walton County",97135,168163,99853,200193
GA,"McDuffie County",21587,67904,21633,74036
GA,"Warren County",5205,30711,5240,35312
GA,"Dodge County",19849,41409,19759,46211
GA,"Montgomery County",8577,47910,8653,54081
GA,"Camden County",54911,0,55664,158485
GA,"Gwinnett County",957801,210112,964546,260927
GA,"Twiggs County",7986,39328,7856,45055
GA,"Macon County",12021,27745,12004,30693
GA,"Turner County",8971,30445,8966,34973
GA,"Hall County",203589,177102,207369,213268
GA,"Worth County",20719,55609,20554,62607
GA,"Richmond County",206328,0,205673,93811
GA,"Taylor County",7814,37386,7799,41758
GA,"Oglethorpe County",14865,98142,15140,115500
GA,"Dooly County",11142,36949,10885,40620
GA,"Douglas County",144497,153356,145814,192946
GA,"Stewart County",5295,25996,5341,28525
GA,"Jeff Davis County",14777,44566,14872,51063
GA,"Union County",24766,146785,25521,167843
GA,"Putnam County",22140,107566,22585,122865
GA,"Washington County",19927,39591,19785,43875
GA,"Laurens County",49497,50720,49547,56368
GA,"Miller County",5987,50977,5919,57619
GA,"Marion County",7520,49493,7440,56722
GA,"Seminole County",9138,43851,9197,49128
GA,"Greene County",19025,103710,19536,119824
GA,"Brooks County",16232,42299,16270,47182
GA,"Baldwin County",43773,60874,43781,69096
GA,"Dougherty County",85366,36471,84844,40420
GA,"Colquitt County",45866,41698,45812,46704
GA,"Rabun County",16894,136077,17119,156678
GA,"Floyd County",98593,83678,98771,99294
GA,"Coweta County",146653,173193,149956,205670
GA,"Telfair County",12461,25446,12414,28784
GA,"Thomas County",45766,61818,45842,70104
GA,"Dade County",16224,87301,16326,100732
GA,"Atkinson County",8301,35008,8391,40402
GA,"Ware County",36218,31406,36033,35883
GA,"Jenkins County",8662,32442,8639,37577
GA,"Muscogee County",206960,64002,205617,75260
GA,"Columbia County",156773,155486,159639,177003
GA,"Fulton County",1069023,188476,1065334,219989
GA,"Elbert County",19627,49118,19579,55417
GA,"Lincoln County",7704,72037,7749,83152
GA,"Calhoun County",5560,26848,5509,29014
GA,"Newton County",112780,139284,115355,168608
GA,"Bartow County",109311,148716,110843,177643
GA,"Jefferson County",15658,32812,15524,36803
GA,"Habersham County",46105,78939,46774,89931
GA,"Cook County",17232,44198,17225,49386
GA,"Coffee County",43047,53805,43386,59861
GA,"Clayton County",297417,107981,297100,130573
GA,"Clinch County",6723,34869,6725,39343
GA,"Ben Hill County",17153,34058,17158,38361
GA,"Whitfield County",102727,127881,102848,146960
GA,"Randolph County",6377,28508,6287,31488
GA,"Berrien County",18159,51236,18147,58244
GA,"Fayette County",119441,232841,120574,263121
GA,"Carroll County",119463,134024,121968,159276
GA,"Chatham County",294904,135796,296329,158423
GA,"Polk County",42925,52820,43496,62069
GA,"Talbot County",5731,45917,5742,50410
GA,"Treutlen County",6390,32154,6306,36300
GA,"Clarke County",128489,140585,128711,165576
GA,"Morgan County",20174,139854,20635,160197
GA,"Pike County",18935,121372,19477,138795
GA,"Appling County",18428,48970,18488,54032
GA,"Wheeler County",7430,43317,7471,47348
GA,"Lowndes County",118316,69443,119276,81252
GA,"Lamar County",18550,71605,19080,82233
GA,"Banks County",18069,115753,18562,130756
GA,"Brantley County",18040,50155,18101,56832
GA,"Murray County",39938,90686,39951,101929
HI,"Honolulu County",1013227,417581,1000890,460064
HI,"Maui County",164655,488066,164221,531755
HI,"Hawaii County",200746,242121,202906,282293
HI,"Kauai County",73201,468451,73454,509033
IA,"Mitchell County",10582,68977,10555,73600
IA,"Montgomery County",10335,40303,10322,43241
IA,"Pocahontas County",7075,38973,7074,44045
IA,"Winnebago County",10650,69663,10656,73116
IA,"Franklin County",9983,49053,9952,53468
IA,"Des Moines County",38831,59785,38491,63841
IA,"Marshall County",40059,58736,39853,62808
IA,"Cedar County",18495,102545,18410,107955
IA,"O Brien County",14154,54464,14015,60025
IA,"Poweshiek County",18643,88568,18586,96416
IA,"Linn County",230263,115028,228939,128819
IA,"Guthrie County",10612,63170,10567,68460
IA,"Ida County",7007,41828,6956,45476
IA,"Polk County",492769,138001,496844,155031
IA,"Clarke County",9726,59438,9785,65543
IA,"Marion County",33377,90566,33380,99303
IA,"Fremont County",6560,52691,6567,54848
IA,"Allamakee County",14067,83671,13926,90773
IA,"Clayton County",16996,77378,16998,83108
IA,"Monona County",8742,44378,8574,48164
IA,"Greene County",8746,46585,8717,49074
IA,"Sioux County",35869,111723,35893,120634
IA,"Scott County",174488,104675,174170,113459
IA,"Van Buren County",7204,50513,7243,53383
IA,"Boone County",26691,88907,26723,96879
IA,"Worth County",7425,63719,7385,70446
IA,"Keokuk County",9995,49547,9914,52601
IA,"Henry County",20412,73645,20387,79065
IA,"Benton County",25536,86990,25691,93707
IA,"Cass County",13104,52314,13050,56442
IA,"Adair County",7477,59719,7541,63916
IA,"Sac County",9791,47653,9752,52555
IA,"Plymouth County",25681,103508,25650,110592
IA,"Tama County",17072,60562,16867,64035
IA,"Delaware County",17458,94681,17510,101938
IA,"Palo Alto County",8961,53135,8906,55807
IA,"Emmet County",9332,46075,9321,49275
IA,"Dallas County",100486,154472,103796,169555
IA,"Washington County",22511,87281,22491,94421
IA,"Webster County",36954,48767,37147,53950
IA,"Mahaska County",22148,64920,21984,68319
IA,"Hardin County",16821,43767,16708,49163
IA,"Hancock County",10757,53813,10663,58534
IA,"Woodbury County",105829,75101,105607,83648
IA,"Jackson County",19437,83848,19368,90384
IA,"Muscatine County",43113,82207,42688,89087
IA,"Howard County",9487,61245,9478,66551
IA,"Ringgold County",4639,56617,4639,56075
IA,"Louisa County",10806,61202,10749,66139
IA,"Wright County",12914,44600,12785,48647
IA,"Crawford County",16453,60693,16193,63913
IA,"Butler County",14311,69348,14332,73655
IA,"Appanoose County",12282,37776,12257,40215
IA,"Lucas County",8615,47060,8710,48316
IA,"Jefferson County",15659,76066,15647,79283
IA,"Monroe County",7582,60464,7610,65362
IA,"Harrison County",14546,64890,14669,69979
IA,"Mills County",14405,116333,14465,125951
IA,"Lyon County",11917,74363,12011,80657
IA,"Adams County",3697,61547,3641,59332
IA,"Cerro Gordo County",42965,69350,42706,75494
IA,"Jasper County",37802,78373,37764,85310
IA,"Buena Vista County",20776,77275,20771,82430
IA,"Clinton County",46418,87949,46463,77501
IA,"Clay County",16333,74654,16440,79659
IA,"Dickinson County",17747,127029,17851,138064
IA,"Jones County",20647,84131,20805,91403
IA,"Bremer County",24974,106399,25081,114975
IA,"Osceola County",6189,45698,6159,47312
IA,"Carroll County",20702,79656,20692,85015
IA,"Audubon County",5671,41202,5635,43027
IA,"Wayne County",6509,40605,6508,41315
IA,"Cherokee County",11632,56501,11503,61146
IA,"Decatur County",7610,49536,7659,52370
IA,"Shelby County",11699,74362,11770,80623
IA,"Lee County",33512,46485,33215,50025
IA,"Calhoun County",9886,42174,9915,44221
IA,"Story County",98615,133643,99472,0
IA,"Iowa County",16679,94926,16568,101179
IA,"Chickasaw County",11970,73262,11887,79079
IA,"Floyd County",15552,56374,15413,60369
IA,"Taylor County",5861,40696,5868,43861
IA,"Fayette County",19399,53215,19258,56296
IA,"Buchanan County",20586,82004,20657,87678
IA,"Kossuth County",14786,47522,14529,49204
IA,"Wapello County",35341,42092,35256,45094
IA,"Hamilton County",15020,58280,14887,65317
IA,"Dubuque County",99229,125532,98718,137853
IA,"Johnson County",152984,167962,154748,176641
IA,"Humboldt County",9595,56825,9634,62319
IA,"Grundy County",12312,85989,12347,92887
IA,"Pottawattamie County",93560,102858,93304,114397
IA,"Black Hawk County",130980,77227,130368,83691
IA,"Warren County",52548,147718,53402,162923
